code,State,Murder,Assault,UrbanPop,Rape
AL,Alabama,13.2,236,58,21.2
AK,Alaska,10.0,263,48,44.5
AZ,Arizona,8.1,294,80,31.0
AR,Arkansas,8.8,190,50,19.5
CA,California,9.0,276,91,40.6
CO,Colorado,7.9,204,78,38.7
CT,Connecticut,3.3,110,77,11.1
DE,Delaware,5.9,238,72,15.8
FL,Florida,15.4,335,80,31.9
GA,Georgia,17.4,211,60,25.8
HI,Hawaii,5.3,46,83,20.2
ID,Idaho,2.6,120,54,14.2
IL,Illinois,10.4,249,83,24.0
IN,Indiana,7.2,113,65,21.0
IA,Iowa,2.2,56,57,11.3
KS,Kansas,6.0,115,66,18.0
KY,Kentucky,9.7,109,52,16.3
LA,Louisiana,15.4,249,66,22.2
ME,Maine,2.1,83,51,7.8
MD,Maryland,11.3,300,67,27.8
MA,Massachusetts,4.4,149,85,16.3
MI,Michigan,12.1,255,74,35.1
MN,Minnesota,2.7,72,66,14.9
MS,Mississippi,16.1,259,44,17.1
MO,Missouri,9.0,178,70,28.2
MT,Montana,6.0,109,53,16.4
NE,Nebraska,4.3,102,62,16.5
NV,Nevada,12.2,252,81,46.0
NH,New Hampshire,2.1,57,56,9.5
NJ,New Jersey,7.4,159,89,18.8
NM,New Mexico,11.4,285,70,32.1
NY,New York,11.1,254,86,26.1
NC,North Carolina,13.0,337,45,16.1
ND,North Dakota,0.8,45,44,7.3
OH,Ohio,7.3,120,75,21.4
OK,Oklahoma,6.6,151,68,20.0
OR,Oregon,4.9,159,67,29.3
PA,Pennsylvania,6.3,106,72,14.9
RI,Rhode Island,3.4,174,87,8.3
SC,South Carolina,14.4,279,48,22.5
SD,South Dakota,3.8,86,45,12.8
TN,Tennessee,13.2,188,59,26.9
TX,Texas,12.7,201,80,25.5
UT,Utah,3.2,120,80,22.9
VT,Vermont,2.2,48,32,11.2
VA,Virginia,8.5,156,63,20.7
WA,Washington,4.0,145,73,26.2
WV,West Virginia,5.7,81,39,9.3
WI,Wisconsin,2.6,53,66,10.8
WY,Wyoming,6.8,161,60,15.6
