,Month,Hour,Drunk,Urban,N
0,April,0.0,49,67,105
1,April,1.0,54,67,103
2,April,2.0,60,64,106
3,April,3.0,30,47,72
4,April,4.0,13,32,47
5,April,5.0,18,51,90
6,April,6.0,13,53,99
7,April,7.0,13,45,92
8,April,8.0,7,37,76
9,April,9.0,3,48,76
10,April,10.0,9,51,96
11,April,11.0,7,46,78
12,April,12.0,8,55,114
13,April,13.0,17,60,115
14,April,14.0,22,53,127
15,April,15.0,32,69,152
16,April,16.0,32,76,142
17,April,17.0,37,76,145
18,April,18.0,28,46,94
19,April,19.0,38,70,115
20,April,20.0,38,117,165
21,April,21.0,52,112,165
22,April,22.0,36,72,103
23,April,23.0,54,79,119
24,August,0.0,36,68,108
25,August,1.0,55,77,103
26,August,2.0,59,77,108
27,August,3.0,22,44,68
28,August,4.0,22,45,72
29,August,5.0,14,40,90
30,August,6.0,25,62,117
31,August,7.0,18,46,97
32,August,8.0,10,46,90
33,August,9.0,7,32,75
34,August,10.0,3,41,82
35,August,11.0,10,70,135
36,August,12.0,21,75,155
37,August,13.0,15,60,126
38,August,14.0,16,54,129
39,August,15.0,34,72,167
40,August,16.0,29,74,156
41,August,17.0,34,67,146
42,August,18.0,55,75,136
43,August,19.0,53,67,137
44,August,20.0,54,125,191
45,August,21.0,51,129,212
46,August,22.0,80,122,203
47,August,23.0,79,91,156
48,December,0.0,46,62,95
49,December,1.0,41,50,75
50,December,2.0,49,63,84
51,December,3.0,31,46,66
52,December,4.0,24,38,55
53,December,5.0,21,44,82
54,December,6.0,15,75,122
55,December,7.0,13,41,83
56,December,8.0,7,32,73
57,December,9.0,11,37,78
58,December,10.0,10,46,88
59,December,11.0,8,47,102
60,December,12.0,8,54,99
61,December,13.0,11,46,102
62,December,14.0,11,54,110
63,December,15.0,20,61,129
64,December,16.0,19,60,119
65,December,17.0,31,117,201
66,December,18.0,44,133,221
67,December,19.0,35,106,155
68,December,20.0,48,94,148
69,December,21.0,42,80,121
70,December,22.0,50,80,127
71,December,23.0,43,63,115
72,February,0.0,42,49,73
73,February,1.0,36,54,71
74,February,2.0,41,66,85
